0,1,2,3,4,5
0.16666666666666666,0.3333333333333333,72.5,5,1,1
0.0,0.0,24.78,6,1,1
-0.13333333333333333,0.39999999999999997,27.83,6,1,1
0.13636363636363635,0.5,28.17,4,1,1
0.0,0.0625,19.37,6,1,1
0.0,0.125,56.59,5,1,1
-0.05000000000000001,0.26666666666666666,55.24,4,1,1
0.06,0.4166666666666667,2.46,5,1,1
0.0818181818181818,0.4469696969696969,-29.69,5,1,1
0.0,0.0,16.32,5,1,1
-0.21833333333333335,0.36833333333333335,-5.68,5,1,1
0.0,0.11333333333333333,-2.63,6,1,1
-0.16666666666666666,0.5333333333333333,-34.77,5,1,1
0.065,0.5058333333333334,-21.23,5,1,1
0.04583333333333332,0.3703703703703704,4.82,5,1,1
0.0,0.0,22.42,5,1,1
0.012500000000000004,0.3208333333333333,-5.33,5,1,1
0.05454545454545455,0.4833333333333333,-12.44,5,1,1
0.06818181818181818,0.375,11.59,5,1,1
-0.05,0.4,21.4,5,1,1
0.07500000000000001,0.375,5.16,5,1,1
0.08448275862068963,0.3781609195402299,-119.01,5,1,1
0.0125,0.1375,3.13,5,1,1
0.13333333333333333,0.41111111111111115,36.29,5,1,1
0.14333333333333334,0.2866666666666667,-57.44,5,1,1
0.038454545454545457,0.31,-91.61,6,1,1
0.024074074074074067,0.2981481481481481,-33.08,5,1,1
-0.13333333333333333,0.26666666666666666,6.17,6,1,1
0.0,0.0,-14.81,5,1,1
0.016666666666666673,0.19999999999999998,-9.4,6,1,1
0.26666666666666666,0.4533333333333333,10.24,5,1,1
0.09999999999999999,0.09999999999999999,20.73,5,1,1
0.0,0.3,12.27,5,1,1
-0.006249999999999992,0.3125,-26.99,5,1,1
0.06818181818181818,0.45,44.41,6,1,1
0.07840909090909091,0.17500000000000002,-65.9,5,1,1
-0.058333333333333334,0.5197916666666667,-130.18,5,1,1
-0.11666666666666665,0.15,-16.84,5,1,1
0.3,0.825,6.18,4,1,1
0.0,0.0,28.85,5,1,1
0.0625,0.36250000000000004,30.54,5,1,1
-0.04,0.22000000000000003,13.28,5,1,1
0.11851851851851852,0.514814814814815,-80.44,5,1,1
0.01583333333333333,0.27166666666666667,-29.02,6,1,1
0.037500000000000006,0.45454545454545453,-38.15,5,1,1
0.04999999999999999,0.18333333333333335,-24.29,6,1,1
0.06568627450980392,0.4666666666666667,-48.98,5,1,1
0.08124999999999999,0.35336538461538464,-27.33,5,1,1
0.0,0.125,47.46,4,1,1
0.0,0.0,42.38,5,1,1
0.057851239669421496,0.17272727272727273,-2.63,5,1,1
-0.19999999999999998,0.5,21.74,5,1,1
0.06875,0.54375,3.14,5,1,1
0.18400178253119429,0.5127450980392156,-61.16,5,1,1
0.0,0.0,64.04,4,1,1
0.0,0.0,57.61,5,1,1
0.0,0.4,40.01,5,1,1
0.2090909090909091,0.4458333333333333,5.5,5,1,1
0.03888888888888889,0.13333333333333333,40.01,5,1,1
0.13,0.4616666666666666,24.45,5,1,1
0.0,0.025,26.48,5,1,1
0.1,0.1,54.56,5,1,1
-0.15,0.25,29.52,6,1,1
0.0,0.0,57.27,5,1,1
-0.16666666666666666,0.16666666666666666,36.63,5,1,1
0.3499999999999999,0.4166666666666667,-7.36,5,1,1
0.18666666666666668,0.3666666666666667,19.71,5,1,1
0.06666666666666667,0.15,29.86,5,1,1
0.0,0.0,41.36,5,1,1
0.3708333333333333,0.5041666666666668,37.31,5,1,1
-0.011111111111111118,0.3111111111111111,22.42,5,1,1
0.12222222222222223,0.2111111111111111,58.62,6,1,1
0.1,0.1,20.39,5,1,1
0.0,0.0,60.31,4,1,1
0.1,0.4,38.66,5,1,1
0.0,0.0,78.25,5,1,1
0.0,0.0625,30.2,6,1,1
0.04545454545454545,0.8333333333333334,24.11,4,1,1
0.0,0.0,41.03,4,1,1
0.0,0.1,64.71,5,1,1
0.0,0.0,57.61,4,1,1
0.6999999999999998,0.6000000000000001,32.23,5,1,1
0.0,0.0,18.01,6,1,1
0.294,0.6285000000000001,-155.21,5,1,1
0.0,0.0,74.19,5,1,1
0.0,0.0,60.65,5,1,1
0.32499999999999996,0.4,6.51,6,1,1
0.0,0.0,64.71,5,1,1
0.5259259259259259,0.7814814814814814,31.9,5,1,1
0.4,0.5,68.77,4,1,1
-0.15,0.25,40.35,5,1,1
0.02500000000000001,0.25,41.03,5,1,1
-1.0,1.0,60.99,4,1,1
0.4,0.8,78.25,4,1,1
0.03333333333333333,0.3333333333333333,32.22,5,1,1
-0.2045454545454545,0.5222222222222221,31.22,5,1,1
0.0,0.0,12.94,6,1,1
0.0,0.0,41.7,5,1,1
0.0,1.0,43.74,4,1,1
0.0,0.0,47.79,5,1,1
-0.375,0.625,40.69,6,1,1
0.19444444444444445,0.5972222222222221,-15.48,5,1,1
0.0,0.0,34.26,6,1,1
-0.05,0.4,61.67,5,1,1
0.0,0.0,51.52,5,1,1
-0.04999999999999999,0.6833333333333333,70.47,4,1,1
0.18333333333333335,0.3666666666666667,23.77,6,1,1
0.09075757575757579,0.3088888888888889,-30.37,5,1,1
0.0,0.0,33.58,5,1,1
0.15208333333333332,0.5354166666666667,-0.94,5,1,1
0.0,0.76,43.73,6,1,1
0.0,0.13333333333333333,50.84,6,1,1
0.05000000000000002,0.5,21.06,5,1,1
0.22083333333333333,0.5,9.22,6,1,1
0.0,0.0,25.8,6,1,1
0.05000000000000003,0.375,3.13,6,1,1
0.12666666666666665,0.7083333333333333,-4.66,5,1,1
0.25,0.4875,-0.26,5,1,1
0.15833333333333333,0.3527777777777778,0.76,5,1,1
0.09375,0.19166666666666668,46.44,5,1,1
0.01704545454545453,0.55,37.98,5,1,1
0.17222222222222225,0.44814814814814813,-4.99,5,1,1
0.14886363636363634,0.3458333333333334,16.67,5,1,1
0.22499999999999998,0.375,24.45,5,1,1
0.0,0.0,52.87,6,1,1
0.2,0.3,23.77,5,1,1
-0.033333333333333326,0.33333333333333337,31.89,5,1,1
-0.049999999999999996,0.3,15.31,5,1,1
-0.1125,0.15,36.63,5,1,1
0.425,0.575,33.58,5,1,1
0.13636363636363635,0.5,49.83,4,1,1
